"תחנה","תאריך ושעה (שעון קיץ)","קרינה גלובלית (וואט/מ""ר)"
"בית דגן קרינה","02/05/2023 08:20","434"
"בית דגן קרינה","02/05/2023 08:30","468"
"בית דגן קרינה","02/05/2023 08:40","504"
"בית דגן קרינה","02/05/2023 08:50","538"
"בית דגן קרינה","02/05/2023 09:00","582"
"בית דגן קרינה","02/05/2023 09:10","608"
"בית דגן קרינה","02/05/2023 09:20","652"
"בית דגן קרינה","02/05/2023 09:30","683"
"בית דגן קרינה","02/05/2023 09:40","709"
"בית דגן קרינה","02/05/2023 09:50","620"
"בית דגן קרינה","02/05/2023 10:00","765"
"בית דגן קרינה","02/05/2023 10:10","791"
"בית דגן קרינה","02/05/2023 10:20","819"
"בית דגן קרינה","02/05/2023 10:30","837"
"בית דגן קרינה","02/05/2023 10:40","850"
"בית דגן קרינה","02/05/2023 10:50","872"
"בית דגן קרינה","02/05/2023 11:00","889"
"בית דגן קרינה","02/05/2023 11:10","908"
"בית דגן קרינה","02/05/2023 11:20","938"
"בית דגן קרינה","02/05/2023 11:30","950"
"בית דגן קרינה","02/05/2023 11:40","959"
"בית דגן קרינה","02/05/2023 11:50","976"
"בית דגן קרינה","02/05/2023 12:00","983"
"בית דגן קרינה","02/05/2023 12:10","986"
"בית דגן קרינה","02/05/2023 12:20","992"
"בית דגן קרינה","02/05/2023 12:30","998"
"בית דגן קרינה","02/05/2023 12:40","1000"
"בית דגן קרינה","02/05/2023 12:50","1001"
"בית דגן קרינה","02/05/2023 13:00","999"
"בית דגן קרינה","02/05/2023 13:10","996"
"בית דגן קרינה","02/05/2023 13:20","990"
"בית דגן קרינה","02/05/2023 13:30","983"
"בית דגן קרינה","02/05/2023 13:40","971"
"בית דגן קרינה","02/05/2023 13:50","960"
"בית דגן קרינה","02/05/2023 14:00","948"
"בית דגן קרינה","02/05/2023 14:10","930"
"בית דגן קרינה","02/05/2023 14:20","921"
"בית דגן קרינה","02/05/2023 14:30","900"
"בית דגן קרינה","02/05/2023 14:40","882"
"בית דגן קרינה","02/05/2023 14:50","865"
"בית דגן קרינה","02/05/2023 15:00","842"
"בית דגן קרינה","02/05/2023 15:10","819"
"בית דגן קרינה","02/05/2023 15:20","793"
"בית דגן קרינה","02/05/2023 15:30","766"
"בית דגן קרינה","02/05/2023 15:40","740"
"בית דגן קרינה","02/05/2023 15:50","710"
"בית דגן קרינה","02/05/2023 16:00","679"
"בית דגן קרינה","02/05/2023 16:10","650"
"בית דגן קרינה","02/05/2023 16:20","618"
"בית דגן קרינה","02/05/2023 16:30","586"
"בית דגן קרינה","02/05/2023 16:40","552"
"בית דגן קרינה","02/05/2023 16:50","517"
"בית דגן קרינה","02/05/2023 17:00","476"
"בית דגן קרינה","02/05/2023 17:10","439"
"בית דגן קרינה","02/05/2023 17:20","404"
"בית דגן קרינה","02/05/2023 17:30","366"
"בית דגן קרינה","02/05/2023 17:40","323"
"בית דגן קרינה","02/05/2023 17:50","284"
"בית דגן קרינה","02/05/2023 18:00","248"
"בית דגן קרינה","02/05/2023 18:10","212"
"בית דגן קרינה","02/05/2023 18:20","174"
"בית דגן קרינה","02/05/2023 18:30","137"
"בית דגן קרינה","02/05/2023 18:40","104"
"בית דגן קרינה","02/05/2023 18:50","55"
"בית דגן קרינה","02/05/2023 19:00","22"
"בית דגן קרינה","02/05/2023 19:10","14"
"בית דגן קרינה","02/05/2023 19:20","5"
"בית דגן קרינה","02/05/2023 19:30","0"
"בית דגן קרינה","02/05/2023 19:40","0"
"בית דגן קרינה","02/05/2023 19:50","0"
"בית דגן קרינה","02/05/2023 20:00","0"
"בית דגן קרינה","02/05/2023 20:10","0"
"בית דגן קרינה","02/05/2023 20:20","0"
"בית דגן קרינה","02/05/2023 20:30","0"
"בית דגן קרינה","02/05/2023 20:40","0"
"בית דגן קרינה","02/05/2023 20:50","0"
"בית דגן קרינה","02/05/2023 21:00","0"
"בית דגן קרינה","02/05/2023 21:10","0"
"בית דגן קרינה","02/05/2023 21:20","0"
"בית דגן קרינה","02/05/2023 21:30","0"
"בית דגן קרינה","02/05/2023 21:40","0"
"בית דגן קרינה","02/05/2023 21:50","0"
"בית דגן קרינה","02/05/2023 22:00","0"
"בית דגן קרינה","02/05/2023 22:10","0"
"בית דגן קרינה","02/05/2023 22:20","0"
"בית דגן קרינה","02/05/2023 22:30","0"
"בית דגן קרינה","02/05/2023 22:40","0"
"בית דגן קרינה","02/05/2023 22:50","0"
"בית דגן קרינה","02/05/2023 23:00","0"
"בית דגן קרינה","02/05/2023 23:10","0"
"בית דגן קרינה","02/05/2023 23:20","0"
"בית דגן קרינה","02/05/2023 23:30","0"
"בית דגן קרינה","02/05/2023 23:40","0"
"בית דגן קרינה","02/05/2023 23:50","0"
"בית דגן קרינה","03/05/2023 00:00","0"
"בית דגן קרינה","03/05/2023 00:10","0"
"בית דגן קרינה","03/05/2023 00:20","0"
"בית דגן קרינה","03/05/2023 00:30","0"
"בית דגן קרינה","03/05/2023 00:40","0"
"בית דגן קרינה","03/05/2023 00:50","0"
"בית דגן קרינה","03/05/2023 01:00","0"
"בית דגן קרינה","03/05/2023 01:10","0"
"בית דגן קרינה","03/05/2023 01:20","0"
"בית דגן קרינה","03/05/2023 01:30","0"
"בית דגן קרינה","03/05/2023 01:40","0"
"בית דגן קרינה","03/05/2023 01:50","0"
"בית דגן קרינה","03/05/2023 02:00","0"
"בית דגן קרינה","03/05/2023 02:10","0"
"בית דגן קרינה","03/05/2023 02:20","0"
"בית דגן קרינה","03/05/2023 02:30","0"
"בית דגן קרינה","03/05/2023 02:40","0"
"בית דגן קרינה","03/05/2023 02:50","0"
"בית דגן קרינה","03/05/2023 03:00","0"
"בית דגן קרינה","03/05/2023 03:10","0"
"בית דגן קרינה","03/05/2023 03:20","0"
"בית דגן קרינה","03/05/2023 03:30","0"
"בית דגן קרינה","03/05/2023 03:40","0"
"בית דגן קרינה","03/05/2023 03:50","0"
"בית דגן קרינה","03/05/2023 04:00","0"
"בית דגן קרינה","03/05/2023 04:10","0"
"בית דגן קרינה","03/05/2023 04:20","0"
"בית דגן קרינה","03/05/2023 04:30","0"
"בית דגן קרינה","03/05/2023 04:40","0"
"בית דגן קרינה","03/05/2023 04:50","0"
"בית דגן קרינה","03/05/2023 05:00","0"
"בית דגן קרינה","03/05/2023 05:10","0"
"בית דגן קרינה","03/05/2023 05:20","0"
"בית דגן קרינה","03/05/2023 05:30","0"
"בית דגן קרינה","03/05/2023 05:40","0"
"בית דגן קרינה","03/05/2023 05:50","0"
"בית דגן קרינה","03/05/2023 06:00","3"
"בית דגן קרינה","03/05/2023 06:10","12"
"בית דגן קרינה","03/05/2023 06:20","24"
"בית דגן קרינה","03/05/2023 06:30","38"
"בית דגן קרינה","03/05/2023 06:40","52"
"בית דגן קרינה","03/05/2023 06:50","100"
"בית דגן קרינה","03/05/2023 07:00","89"
"בית דגן קרינה","03/05/2023 07:10","111"
"בית דגן קרינה","03/05/2023 07:20","227"
"בית דגן קרינה","03/05/2023 07:30","251"
"בית דגן קרינה","03/05/2023 07:40","283"
"בית דגן קרינה","03/05/2023 07:50","319"
"בית דגן קרינה","03/05/2023 08:00","357"
"בית דגן קרינה","03/05/2023 08:10","383"
"בית דגן קרינה","03/05/2023 08:20","440"
"בית דגן קרינה","03/05/2023 08:30","476"
"בית דגן קרינה","03/05/2023 08:40","521"
"בית דגן קרינה","03/05/2023 08:50","556"
"בית דגן קרינה","03/05/2023 09:00","574"
"בית דגן קרינה","03/05/2023 09:10","591"
"בית דגן קרינה","03/05/2023 09:20","642"
"בית דגן קרינה","03/05/2023 09:30","673"
"בית דגן קרינה","03/05/2023 09:40","630"
"בית דגן קרינה","03/05/2023 09:50","726"
"בית דגן קרינה","03/05/2023 10:00","733"
"בית דגן קרינה","03/05/2023 10:10","779"
"בית דגן קרינה","03/05/2023 10:20","815"
"בית דגן קרינה","03/05/2023 10:30","833"
"בית דגן קרינה","03/05/2023 10:40","841"
"בית דגן קרינה","03/05/2023 10:50","871"
"בית דגן קרינה","03/05/2023 11:00","891"
"בית דגן קרינה","03/05/2023 11:10","898"
"בית דגן קרינה","03/05/2023 11:20","918"
"בית דגן קרינה","03/05/2023 11:30","937"
"בית דגן קרינה","03/05/2023 11:40","954"
"בית דגן קרינה","03/05/2023 11:50","966"
"בית דגן קרינה","03/05/2023 12:00","974"
"בית דגן קרינה","03/05/2023 12:10","978"
"בית דגן קרינה","03/05/2023 12:20","987"
"בית דגן קרינה","03/05/2023 12:30","989"
"בית דגן קרינה","03/05/2023 12:40","988"
"בית דגן קרינה","03/05/2023 12:50","990"
"בית דגן קרינה","03/05/2023 13:00","988"
"בית דגן קרינה","03/05/2023 13:10","983"
"בית דגן קרינה","03/05/2023 13:20","979"
"בית דגן קרינה","03/05/2023 13:30","970"
"בית דגן קרינה","03/05/2023 13:40","962"
"בית דגן קרינה","03/05/2023 13:50","951"
"בית דגן קרינה","03/05/2023 14:00","940"
"בית דגן קרינה","03/05/2023 14:10","925"
"בית דגן קרינה","03/05/2023 14:20","909"
"בית דגן קרינה","03/05/2023 14:30","889"
"בית דגן קרינה","03/05/2023 14:40","871"
"בית דגן קרינה","03/05/2023 14:50","852"
"בית דגן קרינה","03/05/2023 15:00","827"
"בית דגן קרינה","03/05/2023 15:10","802"
"בית דגן קרינה","03/05/2023 15:20","778"
"בית דגן קרינה","03/05/2023 15:30","749"
"בית דגן קרינה","03/05/2023 15:40","723"
"בית דגן קרינה","03/05/2023 15:50","694"
"בית דגן קרינה","03/05/2023 16:00","666"
"בית דגן קרינה","03/05/2023 16:10","633"
"בית דגן קרינה","03/05/2023 16:20","601"
"בית דגן קרינה","03/05/2023 16:30","570"
"בית דגן קרינה","03/05/2023 16:40","534"
"בית דגן קרינה","03/05/2023 16:50","501"
"בית דגן קרינה","03/05/2023 17:00","463"
"בית דגן קרינה","03/05/2023 17:10","427"
"בית דגן קרינה","03/05/2023 17:20","389"
"בית דגן קרינה","03/05/2023 17:30","352"
"בית דגן קרינה","03/05/2023 17:40","315"
"בית דגן קרינה","03/05/2023 17:50","279"
"בית דגן קרינה","03/05/2023 18:00","241"
"בית דגן קרינה","03/05/2023 18:10","206"
"בית דגן קרינה","03/05/2023 18:20","168"
"בית דגן קרינה","03/05/2023 18:30","132"
"בית דגן קרינה","03/05/2023 18:40","98"
"בית דגן קרינה","03/05/2023 18:50","53"
"בית דגן קרינה","03/05/2023 19:00","23"
"בית דגן קרינה","03/05/2023 19:10","13"
"בית דגן קרינה","03/05/2023 19:20","5"
"בית דגן קרינה","03/05/2023 19:30","0"
"בית דגן קרינה","03/05/2023 19:40","0"
"בית דגן קרינה","03/05/2023 19:50","0"
"בית דגן קרינה","03/05/2023 20:00","0"
"בית דגן קרינה","03/05/2023 20:10","0"
"בית דגן קרינה","03/05/2023 20:20","0"
"בית דגן קרינה","03/05/2023 20:30","0"
"בית דגן קרינה","03/05/2023 20:40","0"
"בית דגן קרינה","03/05/2023 20:50","0"
"בית דגן קרינה","03/05/2023 21:00","0"
"בית דגן קרינה","03/05/2023 21:10","0"
"בית דגן קרינה","03/05/2023 21:20","0"
"בית דגן קרינה","03/05/2023 21:30","0"
"בית דגן קרינה","03/05/2023 21:40","0"
"בית דגן קרינה","03/05/2023 21:50","0"
"בית דגן קרינה","03/05/2023 22:00","0"
"בית דגן קרינה","03/05/2023 22:10","0"
"בית דגן קרינה","03/05/2023 22:20","0"
"בית דגן קרינה","03/05/2023 22:30","0"
"בית דגן קרינה","03/05/2023 22:40","0"
"בית דגן קרינה","03/05/2023 22:50","0"
"בית דגן קרינה","03/05/2023 23:00","0"
"בית דגן קרינה","03/05/2023 23:10","0"
"בית דגן קרינה","03/05/2023 23:20","0"
"בית דגן קרינה","03/05/2023 23:30","0"
"בית דגן קרינה","03/05/2023 23:40","0"
"בית דגן קרינה","03/05/2023 23:50","0"
"בית דגן קרינה","04/05/2023 00:00","0"
"בית דגן קרינה","04/05/2023 00:10","0"
"בית דגן קרינה","04/05/2023 00:20","0"
"בית דגן קרינה","04/05/2023 00:30","0"
"בית דגן קרינה","04/05/2023 00:40","0"
"בית דגן קרינה","04/05/2023 00:50","0"
"בית דגן קרינה","04/05/2023 01:00","0"
"בית דגן קרינה","04/05/2023 01:10","0"
"בית דגן קרינה","04/05/2023 01:20","0"
